Fiscal_Year,Budget_Type,Agency_Name,Sub_Agency_Name,DepartmentName,Sub_DepartmentName,Category,Sub_Category,Stimulus_Type,Funding_Source,Vendor_Name,InvoiceID,InvoiceDt,InvoiceAmt,DistributionAmt,CheckID,CheckDt,CheckAmt,CheckVoidDt
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Cellular Telephone Services,,General Fund,VERIZON WIRELESS,1828584,7/12/2017,664.4,40.01,933105,8/11/2017,664.4,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Dues,,General Fund,HEATHER PLOWMAN,1825189,7/17/2017,90,90,932527,8/8/2017,90,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Professional Certification Fees,,General Fund,NICOLE MEYER,1829579,8/1/2017,98,98,932718,8/9/2017,98,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Registration Fees,,General Fund,EMILY LIU,1827129,7/24/2017,25,25,931261,8/1/2017,115,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Registration Fees,,General Fund,EMILY LIU,1827236,7/24/2017,90,90,931261,8/1/2017,115,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Contractual Services,Training & Educational Fees,,General Fund,EASTERN KENTUCKY UNIVERSITY,1829576,8/1/2017,64,64,932682,8/9/2017,64,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Supplies,Office Supplies,,General Fund,OFFICE DEPOT INC,1829215,6/15/2017,309.53,309.53,933071,8/11/2017,7586.86,1/1/1900
2018,Metro Government Operations,Develop Louisville,Administration,Develop Louisville Administration,,Supplies,Office Supplies,,General Fund,OFFICE DEPOT INC,1829216,6/21/2017,128.77,128.77,933071,8/11/2017,7586.86,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Computer Software Licenses,,General Fund,KENTUCKY STATE TREASURER,1820362,7/5/2017,60,60,930158,7/26/2017,60,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Equipment Rental,,General Fund,KONICA MINOLTA BUSINESS SOLUTIONS,1823229,7/11/2017,7921.74,239.51,930960,7/31/2017,7921.74,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Equipment Rental,,General Fund,KONICA MINOLTA BUSINESS SOLUTIONS,1823229,7/11/2017,7921.74,1086.48,930960,7/31/2017,7921.74,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Lab Service Miscellaneous,,General Fund,US HEALTHWORKS MEDICAL GROUP OF KY INC,1817715,5/3/2017,3085,3085,932763,8/9/2017,3085,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Professional Services,,General Fund,AHEAD HUMAN RESOURCES,1822390,7/12/2017,457.87,457.87,931329,8/2/2017,457.87,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Professional Services,,General Fund,AHEAD HUMAN RESOURCES,1822390,7/12/2017,457.87,457.87,931329,8/2/2017,457.87,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Professional Services,,General Fund,AHEAD HUMAN RESOURCES,1822390,7/12/2017,457.87,-457.87,931329,8/2/2017,457.87,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Professional Services,,General Fund,HEALTHPOINT ASSOCIATES INC,1826920,7/13/2017,450,450,931368,8/2/2017,450,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,Professional Services,,General Fund,HEALTHPOINT ASSOCIATES INC,1825670,7/10/2017,1800,1800,930374,7/27/2017,1800,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Contractual Services,"Travel, Air Fare",,General Fund,ADTRAV INC,1824636,6/27/2017,308.9,308.9,929808,7/25/2017,2028.62,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Finance & Administration,Finance/Administrative Support,Supplies,Office Supplies,,General Fund,AMAZON COM,1825515,7/20/2017,13.49,13.49,930088,7/26/2017,1401.94,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Dues,,General Fund,BUSINESS FIRST OF LOUISVILLE INC,1826632,7/18/2017,80,80,931115,8/1/2017,80,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Dues,,General Fund,COURIER JOURNAL,1825661,7/11/2017,82.56,82.56,931125,8/1/2017,167.49,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Dues,,General Fund,COURIER JOURNAL,1827128,7/26/2017,30.62,30.62,931125,8/1/2017,167.49,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Dues,,General Fund,NATIONAL LEAGUE OF CITIES,1829022,5/1/2017,25490,25490,932556,8/8/2017,25490,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Equipment Rental,,General Fund,KONICA MINOLTA BUSINESS SOLUTIONS,1822575,7/11/2017,1713.84,1713.84,929168,7/20/2017,2234.27,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,AMERICAN LEGAL PUBLISHING CORPORATION,1827489,6/29/2017,680.75,680.75,931333,8/2/2017,749,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,AMERICAN LEGAL PUBLISHING CORPORATION,1827490,6/30/2017,68.25,67.75,931333,8/2/2017,749,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,AMERICAN LEGAL PUBLISHING CORPORATION,1827490,6/30/2017,68.25,0.5,931333,8/2/2017,749,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,LOUISVILLE FEDERATION OF MUSICIANS,1822237,7/10/2017,1190,1190,928211,7/17/2017,1190,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,MEDIA LIBRARY INC,1822591,7/1/2017,210,210,929118,7/20/2017,210,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Professional Services,,General Fund,QUICKCAPTION,1829027,6/30/2017,1002,1002,932724,8/9/2017,1002,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Public & Community Relations Services,,General Fund,BRIAN BOLES,1828259,7/28/2017,108.9,108.9,932009,8/7/2017,248.88,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Public & Community Relations Services,,General Fund,BRIAN BOLES,1828276,7/28/2017,139.98,139.98,932009,8/7/2017,248.88,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,Public & Community Relations Services,,General Fund,HENRY STEPHEN OTT,1828263,7/25/2017,39.99,39.99,932039,8/7/2017,139.98,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,"Travel, Out of Town",,General Fund,DAVID B WAGNER,1828359,8/3/2017,915.96,915.96,931944,8/4/2017,117.18,1/1/1900
