Cite Number,Issue Date,Issue T,Violat,Sublocatio,Street,Meter #,Is Wa,Due
5180004964,02/01/2016,13:01 ,X,,SEE NOTES,DU2224,NO,0.00
5090004298,06/30/2016,17:14 ,NP,,SEE NOTES,216E,NO,50.00
5140003457,04/13/2016,15:25 ,X,,SEE NOTES,408A,NO,0.00
5060003463,04/19/2016,12:46 ,X,,SEE NOTES,212A,NO,0.00
5230004873,05/02/2016,09:00 ,PNP,,SEE NOTES,,NO,0.00
5230006173,06/09/2016,08:37 ,S,,SEE NOTES,,NO,0.00
0093966051,05/25/2016,08:35 ,NP,,SEE NOTES,,NO,0.00
5170005806,02/10/2016,13:08 ,X,,SEE NOTES,HK512A,NO,0.00
0094292612,06/17/2016,08:14 ,S,,SEE NOTES,,NO,0.00
5230004363,04/19/2016,12:41 ,PSW,,SEE NOTES,,NO,0.00
5160017496,01/13/2016,16:20 ,NP,,SEE NOTES,,NO,0.00
5040004488,05/20/2016,11:39 ,NPZ,,SEE NOTES,,NO,0.00
5110001431,03/25/2016,09:53 ,X,,SEE NOTES,MA412,NO,0.00
5250001452,01/14/2016,13:27 ,X,,SEE NOTES,6409,NO,50.00
5230004524,04/23/2016,09:23 ,NS,,SEE NOTES,,NO,0.00
5100006525,06/28/2016,10:39 ,X,,SEE NOTES,413,NO,50.00
5260004304,05/28/2016,10:17 ,X,,SEE NOTES,705A,NO,0.00
5260002470,03/04/2016,09:59 ,NSR,,SEE NOTES,,NO,0.00
5230003511,03/29/2016,08:27 ,NSR,,SEE NOTES,,NO,0.00
0094276276,03/05/2016,13:00 ,PFH,,SEE NOTES,,NO,0.00
0090950823,03/27/2016,10:53 ,PNP,,SEE NOTES,,NO,0.00
5100005342,05/25/2016,11:04 ,NSR,,SEE NOTES,,NO,0.00
5230004176,04/15/2016,08:20 ,S,,SEE NOTES,,NO,50.00
5070006036,04/04/2016,16:15 ,NPP,,SEE NOTES,,NO,0.00
5190002966,02/02/2016,10:50 ,NSR,,SEE NOTES,,NO,0.00
5220001790,01/29/2016,10:43 ,X,,SEE NOTES,NA,NO,0.00
5160019964,03/17/2016,17:29 ,NPP,,SEE NOTES,,NO,0.00
5230004253,04/18/2016,10:28 ,S,,SEE NOTES,,NO,0.00
0093330941,02/19/2016,17:43 ,NS,,SEE NOTES,,NO,0.00
5180006680,06/20/2016,14:33 ,X,,SEE NOTES,1603,NO,0.00
5020000865,03/09/2016,10:36 ,X,,SEE NOTES,,NO,0.00
5070006955,06/01/2016,11:54 ,X,,SEE NOTES,607A,NO,0.00
0094334170,04/04/2016,08:41 ,S,,SEE NOTES,,NO,0.00
5180005463,03/07/2016,12:21 ,WA,,SEE NOTES,,NO,0.00
5040004641,06/04/2016,10:02 ,NSR,,SEE NOTES,,NO,0.00
5260004512,06/06/2016,13:43 ,X,,SEE NOTES,CAR310,NO,0.00
5100005561,06/01/2016,11:39 ,X,,SEE NOTES,600R,NO,0.00
5160020406,03/29/2016,10:37 ,X,,SEE NOTES,2015,NO,0.00
5180005829,04/11/2016,11:02 ,X,,SEE NOTES,7615,NO,0.00
5150002073,03/11/2016,09:35 ,X,,SEE NOTES,HK511B,NO,0.00
5010002670,02/20/2016,14:52 ,X,,SEE NOTES,MA805A,NO,0.00
5120003427,01/25/2016,10:46 ,PNP,,SEE NOTES,,NO,0.00
5120003979,02/24/2016,10:31 ,X,,SEE NOTES,301A,NO,0.00
5070005781,01/12/2016,16:31 ,X,,SEE NOTES,AL2000,NO,0.00
5180004973,02/02/2016,07:51 ,X,,SEE NOTES,DU2206,NO,0.00
5040004451,05/16/2016,10:28 ,X,,SEE NOTES,608A,NO,0.00
5060003438,03/09/2016,12:46 ,X,,SEE NOTES,202,NO,0.00
5010002999,03/08/2016,16:46 ,H,,SEE NOTES,,NO,0.00
5230006310,06/21/2016,11:55 ,PFH,,SEE NOTES,,NO,0.00
5180005748,03/29/2016,09:32 ,X,,SEE NOTES,LU1603,NO,0.00
