Cite Number,Issue Date,Violat,Sublocatio,Street,Meter #,Is Wa,Due
M201507360,02/16/2018,PSW,700,YORK ST,,NO,0.00
M201306003,01/05/2018,HO,100S,1ST ST,,NO,0.00
M202705546,01/18/2018,X,N200,1ST ST,3012,NO,0.00
M202802800,01/10/2018,NPP,500W,LIBERTY ST,,NO,0.00
M200208507,02/23/2018,NP,200E,CHESTNUT ST,,NO,0.00
M200209136,03/15/2018,X,400E,MUHAMMAD ALI BLVD,ALI406EB,NO,0.00
M201507129,01/18/2018,X,300BLOCK,MUHAMMAD ALI BLVD,NA,NO,0.00
M201608912,01/02/2018,X,600W,LIBERTY ST,697,NO,50.00
M200409134,02/27/2018,NSR,1800,BROOK ST,,NO,0.00
M200706259,02/01/2018,X,700W,MAIN ST,305,NO,50.00
M200610880,03/05/2018,X,200,MUHAMMAD ALI BLVD,2378,NO,0.00
M200208520,02/23/2018,X,500S,FLOYD ST,FL521B,NO,50.00
M200610593,02/23/2018,NPP,400,MUHAMMAD ALI BLVD,,NO,50.00
M201507686,03/15/2018,NPP,1100,BARDSTOWN RD,,NO,0.00
M202706225,03/20/2018,H,W600,JEFFERSON ST,,NO,100.00
M201306503,01/23/2018,NPP,900,BAXTER AVE,,NO,0.00
M201610531,03/06/2018,X,600S,BROOK ST,1141,NO,50.00
M201306124,01/10/2018,X,S,8TH ST,187,NO,0.00
M202803587,03/21/2018,X,W600,JEFFERSON ST,424,NO,15.00
M200008003,03/23/2018,X,S100,6TH ST,95,NO,15.00
M201507583,03/07/2018,X,600,MAIN ST,279,NO,50.00
M202900005,02/01/2018,X,W700,LIBERTY ST,712,NO,50.00
M200208680,02/28/2018,X,500S,FLOYD ST,FL502B,NO,0.00
M202401563,01/11/2018,X,S2000,4TH ST,4328,NO,0.00
M200007545,03/02/2018,PT2,E800,MARKET ST,,NO,0.00
M200506779,01/27/2018,X,700E,MARKET ST,2746,NO,50.00
M200006944,02/07/2018,NSR,N100,7TH ST,,NO,0.00
M202705682,01/23/2018,X,S200,5TH ST,83,NO,0.00
M200706297,02/06/2018,H,600W,JEFFERSON ST,,NO,135.00
M202705622,01/22/2018,X,W500,JEFFERSON ST,648,NO,0.00
M200506784,01/27/2018,X,1500E,HIGHLAND AVE,4609,NO,0.00
M202803241,02/14/2018,X,600,WASHINGTON ST,586,NO,0.00
M200806337,02/07/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M200706730,03/14/2018,X,100S,1ST ST,2780,NO,0.00
M201306457,01/22/2018,X,4-2014S,4TH ST,4354,YES,0.00
M200610708,02/28/2018,X,600,1ST ST,888,NO,0.00
M201404416,01/03/2018,X,500S,LIBERTY ST,778,NO,0.00
M200303402,01/03/2018,BT,600 W,JEFFERSON ST,,NO,0.00
M200007832,03/14/2018,NSR,900,BAXTER AVE,,NO,0.00
M201609768,02/07/2018,NPG,400S,5TH ST,,NO,50.00
M201610809,03/15/2018,X,400W,LIBERTY ST,2226,NO,0.00
M201404597,01/16/2018,X,200E,MUHAMMAD ALI BLVD,4939,NO,50.00
M202900496,02/23/2018,NPP,1224,BROADWAY,,NO,0.00
M201610180,02/22/2018,X,300S,6TH ST,1,NO,50.00
M201610009,02/14/2018,X,500S,1ST ST,895,NO,0.00
M201707419,02/17/2018,X,100W,JEFFERSON ST,2276,NO,0.00
M200007818,03/14/2018,X,W700,MAIN ST,312,NO,0.00
M202803563,03/20/2018,X,400 W,MUHAMMAD ALI BLVD,2273,NO,0.00
M200506308,01/06/2018,X,1900S,3RD ST,4219,NO,0.00
M202401773,03/08/2018,X,100,1ST ST,102,NO,0.00
M201306315,01/18/2018,X,BD1603B,BARDSTOWN RD,2359,NO,0.00
M200208991,03/12/2018,X,600S,BROOK ST,BR604B,NO,0.00
M201108822,02/02/2018,X,600,LIBERTY ST,698,NO,0.00
M201507333,02/14/2018,X,300,MAIN ST,2626,NO,0.00
M202705529,01/17/2018,X,S200,7TH ST,159,NO,0.00
M201306436,01/22/2018,X,3-1903S,3RD ST,4212,NO,0.00
M201306017,01/05/2018,PSW,700,BROADWAY,,NO,50.00
M201609672,02/03/2018,X,600W,JEFFERSON ST,411,NO,0.00
M201108883,02/08/2018,X,300,6TH ST,6,NO,50.00
M201307060,03/12/2018,X,MA100BW,MAIN ST,2661,NO,0.00
M202401745,03/07/2018,H,200,5TH ST,,NO,135.00
M200506446,01/13/2018,X,1900E,DOUGLASS BLVD,4563,NO,0.00
M201404463,01/05/2018,X,400E,CHESTNUT ST,1392,NO,0.00
M200609980,02/02/2018,X,700,4TH ST,3802,NO,0.00
M200705960,01/02/2018,NPP,500S,5TH ST,,NO,0.00
M200506198,01/02/2018,X,500BLOCK,FLOYD ST,NA,NO,0.00
M200706132,01/13/2018,X,100E,MAIN ST,3189,NO,0.00
M200208556,02/23/2018,X,600S,FLOYD ST,FL609B,NO,0.00
M200610794,03/02/2018,X,100,CHESTNUT ST,874,NO,0.00
M200303475,01/10/2018,BT,1100,1ST ST,,NO,0.00
M201610208,02/22/2018,X,200 S,CHESTNUT ST,1160,NO,50.00
M202401524,01/10/2018,X,S1800,4TH ST,4325,NO,0.00
M202705540,01/18/2018,NPC,S300,6TH ST,,NO,0.00
M200007335,02/21/2018,X,S100,5TH ST,66,NO,0.00
M201307380,03/20/2018,X,DU2224,DUNDEE RD,4589,NO,15.00
M201405206,02/19/2018,X,300E,MUHAMMAD ALI BLVD,1308,NO,0.00
M200611029,03/14/2018,PCO,600,4TH ST,,NO,0.00
M202803255,02/14/2018,NPP,600,BAXTER AVE,,NO,50.00
M200208902,03/08/2018,X,500E,CHESTNUT ST,CH519EB,NO,50.00
M201507712,03/21/2018,NPP,500,KENTUCKY ST,,NO,15.00
M200208679,02/28/2018,X,100E,CHESTNUT ST,CH100E,NO,0.00
